,Year,TXx
0,2001,33.7304573059082
1,2002,34.333740234375
2,2003,34.23284149169922
3,2004,34.06534957885742
4,2005,34.36612319946289
5,2006,33.65082550048828
6,2007,33.82589340209961
7,2008,33.192474365234375
8,2009,33.82491683959961
9,2010,34.964866638183594
10,2011,33.463714599609375
11,2012,33.93646240234375
12,2013,34.19804382324219
13,2014,34.28519058227539
14,2015,34.287845611572266
15,2016,34.89015197753906
16,2017,34.2301139831543
17,2018,34.164093017578125
18,2019,34.73472595214844
19,2020,34.29686737060547
